sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
H4530327,bidon-de-plastico-star-wars-rebels.jpg,bidon-de-plastico-star-wars-rebels imagen,bidon-de-plastico-star-wars-rebels.jpg,bidon-de-plastico-star-wars-rebels imagen,bidon-de-plastico-star-wars-rebels.jpg,bidon-de-plastico-star-wars-rebels imagen
H4501102,coche-teledirigido-lamborghini-reventon-roadster.jpg,coche-teledirigido-lamborghini-reventon-roadster imagen,coche-teledirigido-lamborghini-reventon-roadster.jpg,coche-teledirigido-lamborghini-reventon-roadster imagen,coche-teledirigido-lamborghini-reventon-roadster.jpg,coche-teledirigido-lamborghini-reventon-roadster imagen
H2000153,osito-de-peluche-con-corazon.jpg,osito-de-peluche-con-corazon imagen,osito-de-peluche-con-corazon.jpg,osito-de-peluche-con-corazon imagen,osito-de-peluche-con-corazon.jpg,osito-de-peluche-con-corazon imagen
H4530328,dinosaurio-de-peluche.jpg,dinosaurio-de-peluche imagen,dinosaurio-de-peluche.jpg,dinosaurio-de-peluche imagen,dinosaurio-de-peluche.jpg,dinosaurio-de-peluche imagen
H4600037,animal-de-madera-3d-para-pintar-5-piezas.jpg,animal-de-madera-3d-para-pintar-5-piezas imagen,animal-de-madera-3d-para-pintar-5-piezas.jpg,animal-de-madera-3d-para-pintar-5-piezas imagen,animal-de-madera-3d-para-pintar-5-piezas.jpg,animal-de-madera-3d-para-pintar-5-piezas imagen
H4530331,muneca-con-sonido-y-accesorios.jpg,muneca-con-sonido-y-accesorios imagen,muneca-con-sonido-y-accesorios.jpg,muneca-con-sonido-y-accesorios imagen,muneca-con-sonido-y-accesorios.jpg,muneca-con-sonido-y-accesorios imagen
H4530332,muneca-con-sonido-y-accesorios.jpg,muneca-con-sonido-y-accesorios imagen,muneca-con-sonido-y-accesorios.jpg,muneca-con-sonido-y-accesorios imagen,muneca-con-sonido-y-accesorios.jpg,muneca-con-sonido-y-accesorios imagen
G0500200,tabla-snow-boogie-para-ninos-junior-knows.jpg,tabla-snow-boogie-para-ninos-junior-knows imagen,tabla-snow-boogie-para-ninos-junior-knows.jpg,tabla-snow-boogie-para-ninos-junior-knows imagen,tabla-snow-boogie-para-ninos-junior-knows.jpg,tabla-snow-boogie-para-ninos-junior-knows imagen
G0500201,snow-boogie-hinchable-oso-polar-junior-knows.jpg,snow-boogie-hinchable-oso-polar-junior-knows imagen,snow-boogie-hinchable-oso-polar-junior-knows.jpg,snow-boogie-hinchable-oso-polar-junior-knows imagen,snow-boogie-hinchable-oso-polar-junior-knows.jpg,snow-boogie-hinchable-oso-polar-junior-knows imagen
G0500202,snow-boogie-hinchable-pinguino-junior-knows.jpg,snow-boogie-hinchable-pinguino-junior-knows imagen,snow-boogie-hinchable-pinguino-junior-knows.jpg,snow-boogie-hinchable-pinguino-junior-knows imagen,snow-boogie-hinchable-pinguino-junior-knows.jpg,snow-boogie-hinchable-pinguino-junior-knows imagen
G0500203,snow-boogie-hinchable-hielo-junior-knows-2-plazas.jpg,snow-boogie-hinchable-hielo-junior-knows-2-plazas imagen,snow-boogie-hinchable-hielo-junior-knows-2-plazas.jpg,snow-boogie-hinchable-hielo-junior-knows-2-plazas imagen,snow-boogie-hinchable-hielo-junior-knows-2-plazas.jpg,snow-boogie-hinchable-hielo-junior-knows-2-plazas imagen
D2510139,cabeza-de-hierba-animales-junior-knows.jpg,cabeza-de-hierba-animales-junior-knows imagen,cabeza-de-hierba-animales-junior-knows.jpg,cabeza-de-hierba-animales-junior-knows imagen,cabeza-de-hierba-animales-junior-knows.jpg,cabeza-de-hierba-animales-junior-knows imagen
H4501155,coche-teledirigido-aston-martin-dbs-coupe.jpg,coche-teledirigido-aston-martin-dbs-coupe imagen,coche-teledirigido-aston-martin-dbs-coupe.jpg,coche-teledirigido-aston-martin-dbs-coupe imagen,coche-teledirigido-aston-martin-dbs-coupe.jpg,coche-teledirigido-aston-martin-dbs-coupe imagen
H4501156,coche-teledirigido-aston-martin-dbs-coupe.jpg,coche-teledirigido-aston-martin-dbs-coupe imagen,coche-teledirigido-aston-martin-dbs-coupe.jpg,coche-teledirigido-aston-martin-dbs-coupe imagen,coche-teledirigido-aston-martin-dbs-coupe.jpg,coche-teledirigido-aston-martin-dbs-coupe imagen
H4530334,juego-de-pajitas-para-beber-playz-kidz-194-piezas.jpg,juego-de-pajitas-para-beber-playz-kidz-194-piezas imagen,juego-de-pajitas-para-beber-playz-kidz-194-piezas.jpg,juego-de-pajitas-para-beber-playz-kidz-194-piezas imagen,juego-de-pajitas-para-beber-playz-kidz-194-piezas.jpg,juego-de-pajitas-para-beber-playz-kidz-194-piezas imagen
F1600052,gel-de-bano-y-champu-infantil.jpg,gel-de-bano-y-champu-infantil imagen,gel-de-bano-y-champu-infantil.jpg,gel-de-bano-y-champu-infantil imagen,gel-de-bano-y-champu-infantil.jpg,gel-de-bano-y-champu-infantil imagen
F1600053,leche-corporal-infantil.jpg,leche-corporal-infantil imagen,leche-corporal-infantil.jpg,leche-corporal-infantil imagen,leche-corporal-infantil.jpg,leche-corporal-infantil imagen
F1600054,crema-para-panal.jpg,crema-para-panal imagen,crema-para-panal.jpg,crema-para-panal imagen,crema-para-panal.jpg,crema-para-panal imagen
H4530336,pistola-de-agua.jpg,pistola-de-agua imagen,pistola-de-agua.jpg,pistola-de-agua imagen,pistola-de-agua.jpg,pistola-de-agua imagen
H4530337,pistola-de-agua.jpg,pistola-de-agua imagen,pistola-de-agua.jpg,pistola-de-agua imagen,pistola-de-agua.jpg,pistola-de-agua imagen
V0000135,mini-juego-de-excavacion.jpg,mini-juego-de-excavacion imagen,mini-juego-de-excavacion.jpg,mini-juego-de-excavacion imagen,mini-juego-de-excavacion.jpg,mini-juego-de-excavacion imagen
V0000137,patito-de-goma-con-led.jpg,patito-de-goma-con-led imagen,patito-de-goma-con-led.jpg,patito-de-goma-con-led imagen,patito-de-goma-con-led.jpg,patito-de-goma-con-led imagen
